state,district,incumbent,name,party,result
AL,1,1,"Callahan, H. L. ""Sonny""",R,0.9126
AL,2,1,"Everett, Terry",R,0.682
AL,3,1,"Riley, Bob",R,0.869
AL,4,1,"Aderholt, Robert",R,0.6058
AL,5,1,"Cramer, Bud",D,0.888
AL,6,1,"Bachus, Spencer",R,0.8794
AL,7,1,"Hilliard, Earl F.",D,0.7463
AK,0,1,"Young, Don E.",R,0.6956
AS,0,1,"Faleomavaega, Eni F.H.",D,0.6108
AZ,1,0,"Flake, Jeff",R,0.5361
AZ,2,1,"Pastor, Ed",D,0.6854
AZ,3,1,"Stump, Bob",R,0.6569
AZ,4,1,"Shadegg, John",R,0.6396
AZ,5,1,"Kolbe, Jim",R,0.6015
AZ,6,1,"Hayworth, J.D.",R,0.6141
AR,1,1,"Berry,  Marion",D,0.6015
AR,2,1,"Snyder,  Vic",D,0.5754
AR,3,1,"Hutchinson,  Asa",R,1
AR,4,0,"Ross,  Mike",D,0.5097
CA,1,1,"Thompson, Mike ",D,0.6503
CA,2,1,"Herger, Wally ",R,0.6573
CA,3,1,"Ose, Doug ",R,0.5615
CA,4,1,"Doolittle, John T. ",R,0.6342
CA,5,1,"Matsui, Robert T. ",D,0.6868
CA,6,1,"Woolsey, Lynn ",D,0.6432
CA,7,1,"Miller, George ",D,0.7648
CA,8,1,"Pelosi, Nancy ",D,0.8441
CA,9,1,"Lee, Barbara ",D,0.8495
CA,10,1,"Tauscher, Ellen O. ",D,0.5263
CA,11,1,"Pombo, Richard W. ",R,0.5783
CA,12,1,"Lantos, Tom ",D,0.7452
CA,13,1,"Stark, Fortney Pete ",D,0.7044
CA,14,1,"Eshoo, Anna G. ",D,0.7023
CA,15,0,"Honda, Mike ",D,0.5426
CA,16,1,"Lofgren, Zoe ",D,0.7206
CA,17,1,"Farr, Sam ",D,0.686
CA,18,1,"Condit, Gary A. ",D,0.671
CA,19,1,"Radanovich, George ",R,0.6492
CA,20,1,"Dooley, Cal ",D,0.5234
CA,21,1,"Thomas, Bill ",R,0.7159
CA,22,1,"Capps, Lois ",D,0.5314
CA,23,1,"Gallegly, Elton ",R,0.5405
CA,24,1,"Sherman, Brad ",D,0.66
CA,25,1,"McKeon, Howard P. ""Buck"" ",R,0.6223
CA,26,1,"Berman, Howard L. ",D,0.8407
CA,27,0,"Schiff, Adam ",D,0.527
CA,28,1,"Dreier, David ",R,0.568
CA,29,1,"Waxman, Henry A. ",D,0.7569
CA,30,1,"Becerra, Xavier ",D,0.8329
CA,31,0,"Solis, Hilda L. ",D,0.7935
CA,32,1,"Dixon, Julian C. ",D,0.8354
CA,33,1,"Roybal-Allard, Lucille ",D,0.8454
