state,district,incumbent,first_name,last_name,name,party,result
AL,01,0,Jo,Bonner,"Bonner, Jo",R,0.6049796572
AL,02,1,Terry,Everett,"Everett, Terry",R,0.6875375735
AL,03,0,Mike,Rogers,"Rogers, Mike",R,0.5030763203
AL,04,1,Robert,Aderholt,"Aderholt, Robert",R,0.8671889063
AL,05,1,Bud,Cramer,"Cramer, Bud",D,0.7328394075
AL,06,1,Spencer,Bachus,"Bachus, Spencer",R,0.8982838071
AL,07,0,Artur,Davis,"Davis, Artur",D,0.924393749
AK,00,1,Don E.,Young,"Young, Don E.",R,0.7451311889
AR,01,1,Marion,Berry,"Berry, Marion",D,0.6683620361
AR,02,1,Vic,Snyder,"Snyder, Vic",D,0.9292177105
AR,03,1,John,Boozman,"Boozman, John",R,0.9889762679
AR,04,1,Mike,Ross,"Ross, Mike",D,0.6056232503
AS,00,1,Eni F. H. ,Faleomavaega,"Faleomavaega, Eni F. H. ",D,0.4131627057
AZ,01,0,Rick,Renzi,"Renzi, Rick",R,0.4921201921
AZ,02,0,Trent,Franks,"Franks, Trent",R,0.5991510549
AZ,03,1,John,Shadegg,"Shadegg, John",R,0.6731706377
AZ,04,1,Ed,Pastor,"Pastor, Ed",D,0.6738363733
AZ,05,1,J.D.,Hayworth,"Hayworth, J.D.",R,0.6116764422
AZ,06,1,Jeff,Flake,"Flake, Jeff",R,0.6594344269
AZ,07,0,Raúl M.,Grijalva,"Grijalva, Raúl M.",D,0.590032557
AZ,08,1,Jim,Kolbe,"Kolbe, Jim",R,0.6332947492
CA,01,1,Mike,Thompson,"Thompson, Mike",D,0.6407059865
CA,02,1,Wally,Herger,"Herger, Wally",R,0.6578595972
CA,03,1,Doug,Ose,"Ose, Doug",R,0.6245292892
CA,04,1,John T.,Doolittle,"Doolittle, John T.",R,0.6476722712
CA,05,1,Robert T.,Matsui,"Matsui, Robert T.",D,0.704722674
CA,06,1,Lynn,Woolsey,"Woolsey, Lynn",D,0.6668639025
CA,07,1,George,Miller,"Miller, George",D,0.7071240678
CA,08,1,Nancy,Pelosi,"Pelosi, Nancy",D,0.7958314895
CA,09,1,Barbara,Lee,"Lee, Barbara",D,0.814135169
CA,10,1,Ellen O.,Tauscher,"Tauscher, Ellen O.",D,0.7559346161
CA,11,1,Richard W.,Pombo,"Pombo, Richard W.",R,0.6031467727
CA,12,1,Tom,Lantos,"Lantos, Tom",D,0.6813412997
CA,13,1,"Fortney ""Pete""",Stark,"Stark, Fortney ""Pete""",D,0.7105887959
CA,14,1,Anna G.,Eshoo,"Eshoo, Anna G.",D,0.6818287725
CA,15,1,Mike,Honda,"Honda, Mike",D,0.6576506142
CA,16,1,Zoe,Lofgren,"Lofgren, Zoe",D,0.6701794677
CA,17,1,Sam,Farr,"Farr, Sam",D,0.680741614
CA,18,0,Dennis A.,Cardoza,"Cardoza, Dennis A.",D,0.5126331061
CA,19,1,George,Radanovich,"Radanovich, George",R,0.6730523061
CA,20,1,Cal,Dooley,"Dooley, Cal",D,0.6369800722
CA,21,0,Devin,Nunes,"Nunes, Devin",R,0.7048744746
CA,22,1,Bill ,Thomas,"Thomas, Bill ",R,0.7333171014
CA,23,1,Lois,Capps,"Capps, Lois",D,0.5902528634
CA,24,1,Elton,Gallegly,"Gallegly, Elton",R,0.6517896717
CA,25,1,"Howard P. ""Buck""",McKeon,"McKeon, Howard P. ""Buck""",R,0.6496509458
CA,26,1,David,Dreier,"Dreier, David",R,0.6377315589
CA,27,1,Brad,Sherman,"Sherman, Brad",D,0.6196287584
CA,28,1,Howard L.,Berman,"Berman, Howard L.",D,0.7139635716
CA,29,1,Adam B.,Schiff,"Schiff, Adam B.",D,0.6255995919
CA,30,1,Henry A.,Waxman,"Waxman, Henry A.",D,0.7037118857
CA,31,1,Xavier ,Becerra,"Becerra, Xavier ",D,0.8115194147
CA,32,1,Hilda L.,Solis,"Solis, Hilda L.",D,0.6879488475
CA,33,1,Diane E.,Watson,"Watson, Diane E.",D,0.8254945166
CA,34,1,Lucille,Roybal-Allard,"Roybal-Allard, Lucille",D,0.7403682547
CA,35,1,Maxine,Waters,"Waters, Maxine",D,0.7751132142
CA,36,1,Jane,Harman,"Harman, Jane",D,0.6135470362
CA,37,1,Juanita,Millender-McDonald,"Millender-McDonald, Juanita",D,0.7291523008
CA,38,1,Grace F.,Napolitano,"Napolitano, Grace F.",D,0.711145444
CA,39,0,Linda T.,Sanchez,"Sanchez, Linda T.",D,0.54806704
CA,40,1,Ed,Royce,"Royce, Ed",R,0.676380615
CA,41,1,Jerry,Lewis,"Lewis, Jerry",R,0.6738285141
CA,42,1,Gary G.,Miller,"Miller, Gary G.",R,0.6779945747
CA,43,1,Joe,Baca,"Baca, Joe",D,0.663944981
CA,44,1,Ken,Calvert,"Calvert, Ken",R,0.6365938089
CA,45,1,Mary,Bono,"Bono, Mary",R,0.6522807096
CA,46,1,Dana,Rohrabacher,"Rohrabacher, Dana",R,0.6172921453
CA,47,1,Loretta ,Sanchez,"Sanchez, Loretta ",D,0.605617145
CA,48,1,Christopher,Cox,"Cox, Christopher",R,0.6844037004
CA,49,1,Darrell,Issa,"Issa, Darrell",R,0.7722148298
CA,50,1,"Randy ""Duke""",Cunningham,"Cunningham, Randy ""Duke""",R,0.6432794251
CA,51,1,Bob,Filner,"Filner, Bob",D,0.5792658605
CA,52,1,Duncan,Hunter,"Hunter, Duncan",R,0.7015028697
CA,53,1,Susan A.,Davis,"Davis, Susan A.",D,0.6218970563
CO,01,1,Diana ,DeGette,"DeGette, Diana ",D,0.6627631048
CO,02,1,Mark ,Udall,"Udall, Mark ",D,0.6009283678
CO,03,1,Scott,McInnis,"McInnis, Scott",R,0.6580340594
CO,04,0,Marilyn N.,Musgrave,"Musgrave, Marilyn N.",R,0.5494463099
CO,05,1,Joel ,Hefley,"Hefley, Joel ",R,0.693740964
CO,06,1,Tom ,Tancredo,"Tancredo, Tom ",R,0.6688434996
CO,07,0,Bob,Beauprez,"Beauprez, Bob",R,0.4730996824
CT,01,1,John B.,Larson,"Larson, John B.",D,0.667853318
CT,02,1,Rob,Simmons,"Simmons, Rob",R,0.5409013026
CT,03,1,Rosa L.,DeLauro,"DeLauro, Rosa L.",D,0.6557745841
CT,04,1,Christopher,Shays,"Shays, Christopher",R,0.6442812829
CT,05,1,Nancy,Johnson,"Johnson, Nancy",R,0.5424866558
DE,00,1,Michael N.,Castle,"Castle, Michael N.",R,0.720671614
DC,00,1,Eleanor Holmes,Norton,"Norton, Eleanor Holmes",D,0.9300881988
FL,01,1,Jeff,Miller,"Miller, Jeff",R,0.7459218281
